Lambda,Algorithm,Count,Mean Normalized Accuracy,Std Norm Accuracy,Mean Normalized Energy,Std Norm Energy,mean_latency_norm,std_latency_norm,Mean Reward,Std Reward,Mean Total Energy (Wh),Std Total Energy (Wh)
0.9,linucb,5,0.4886221964871805,0.014489338717457561,0.0680486542666874,0.0023993236158388535,0.10339227336416199,0.0024217461869317216,0.8876184308086994,0.0011374983576549948,85.97052300827404,8.537189660329831
0.9,random,5,0.5116317107439393,0.00903843461078655,0.16838260685072898,0.0020040990548926144,0.2068155527109406,0.0024382205995722426,0.7996188249087378,0.0018687203152644783,236.34548317509785,7.211765503097574
0.9,smallest,5,0.3224971670309777,0.0,0.04785310832833502,0.0,0.08831793858344318,0.0,0.8891819192075963,0.0,52.463203797571865,0.0
0.9,thompson_sampling,5,0.4838144927620596,0.010980926530739699,0.07207793243308554,0.0019957006426732683,0.10820542940130169,0.0030152848520813547,0.8835113100864291,0.0011674338847507996,93.17201675227233,6.936027013363654
1.0,accuracy,5,0.6850036129066008,0.0,0.5373095930916143,0.0,0.6258397028689867,0.0,0.46269040690838575,0.0,731.4273224816835,0.0
1.0,epsilon_greedy,5,0.37451888931761634,0.0011870126673309141,0.04654367376612425,0.0006124247220173481,0.06834140424392002,0.0007418156405196754,0.9534563262338758,0.0006124247220173642,62.816558893506794,1.0102137018008055
1.0,largest,5,0.38419378669728327,0.0,0.4122323191878735,0.0,0.4059649715387025,0.0,0.5877676808121265,0.0,440.4658335067344,0.0
1.0,linear_epsilon_greedy,5,0.39358157834781127,0.06394316956510082,0.060943425744495495,0.009790397640002477,0.1034383429958067,0.012066201101920363,0.9390565742555046,0.009790397640002486,67.26313298165186,15.089043981190201
1.0,linucb,5,0.37448337266612197,0.016207451851118285,0.0564469987643497,0.002512181103096533,0.09695531870714322,0.002271487903761362,0.9435530012356503,0.002512181103096563,66.6377759786424,5.287387046590176
1.0,random,5,0.5124542871840095,0.005124297584128409,0.16736902848490604,0.0014634376174454471,0.20538944011232374,0.002009921541254824,0.8326309715150939,0.0014634376174454725,236.4294419934293,4.496059325842548
1.0,smallest,5,0.3224971670309777,0.0,0.04785310832833502,0.0,0.08831793858344318,0.0,0.9521468916716651,0.0,52.463203797571865,0.0
1.0,thompson_sampling,5,0.38803570071402105,0.003913229266939522,0.059913261169786014,0.0003843067506564244,0.09468565740056838,0.00030761519071635597,0.9400867388302141,0.0003843067506564632,74.98459531800334,1.024495391554959
